nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy (y),Log(Total Population),Log(GDP/Person [PPP$])
Chad,2010,Sub-Saharan Africa,"11,227,208",1759.973441,49.794,7.050271769,3.245506114
South Africa,1800,Sub-Saharan Africa,"1,440,820",759.0465683,33.5,6.158609728,2.880268421
South Africa,1810,Sub-Saharan Africa,,,,,
South Africa,1820,Sub-Saharan Africa,"1,550,000",759.0465683,,6.190331698,2.880268421
South Africa,1830,Sub-Saharan Africa,,,,,
South Africa,1840,Sub-Saharan Africa,,,,,
South Africa,1850,Sub-Saharan Africa,,,,,
South Africa,1860,Sub-Saharan Africa,,,,,
South Africa,1870,Sub-Saharan Africa,"2,547,000",1569.681872,,6.406028945,3.195811643
South Africa,1880,Sub-Saharan Africa,,,,,
South Africa,1890,Sub-Saharan Africa,,,,,
South Africa,1900,Sub-Saharan Africa,,,,,
South Africa,1910,Sub-Saharan Africa,,,,,
South Africa,1920,Sub-Saharan Africa,,1939.113141,,,3.28760315
South Africa,1930,Sub-Saharan Africa,,2783.612688,33.5,,3.444608807
South Africa,1940,Sub-Saharan Africa,,4134.379231,,,3.61641031
South Africa,1950,Sub-Saharan Africa,"13,683,162",4575.118246,43.547,7.136186469,3.660402323
South Africa,1960,Sub-Saharan Africa,"17,396,477",5545.680612,49.048,7.240461307,3.743954854
South Africa,1970,Sub-Saharan Africa,"22,502,306",7668.605316,52.825,7.352227026,3.884716386
South Africa,1980,Sub-Saharan Africa,"29,077,186",8577.416087,56.929,7.463552375,3.933356478
South Africa,1990,Sub-Saharan Africa,"36,793,907",7786.875847,62.096,7.565775906,3.89136325
South Africa,2000,Sub-Saharan Africa,"44,760,380",7454.445716,55.892,7.650893765,3.872415357
South Africa,2010,Sub-Saharan Africa,"50,132,817",9322.168814,54.547,7.700122109,3.969516963
Nicaragua,1800,America,"219,387",726.9695229,25.4,5.341210889,2.861516204
Nicaragua,1810,America,,,,,
Nicaragua,1820,America,"219,387",726.9695229,,5.341210889,2.861516204
Nicaragua,1830,America,,,,,
Nicaragua,1840,America,,,,,
Nicaragua,1850,America,"353,850",,,5.5488192,
Nicaragua,1860,America,,,,,
Nicaragua,1870,America,"397,492",,,5.599328392,
Nicaragua,1880,America,,,,,
Nicaragua,1890,America,,,,,
Nicaragua,1900,America,"563,801",,,5.751125842,
Nicaragua,1910,America,"652,264",,,5.814423409,
Nicaragua,1920,America,"754,881",2070.644384,,5.877878495,3.316105519
Nicaragua,1930,America,"802,061",2317.411354,,5.904207399,3.36500313
Nicaragua,1940,America,"978,986",2247.929066,34.47048,5.990776481,3.351782603
Nicaragua,1950,America,"1,294,993",2646.802112,41.05,6.112267421,3.422721473
Nicaragua,1960,America,"1,772,895",3248.304481,47.028,6.248683015,3.511656731
Nicaragua,1970,America,"2,398,160",4605.69919,53.681,6.379878155,3.66329557
Nicaragua,1980,America,"3,242,190",3528.637154,58.502,6.510838462,3.547607003
Nicaragua,1990,America,"4,120,797",2355.468316,64.139,6.614981221,3.372077267
Nicaragua,2000,America,"5,073,704",2490.796143,69.682,6.705325127,3.396338185
Nicaragua,2010,America,"5,788,163",2871.903509,73.84,6.762540753,3.458169844
Malaysia,1800,East Asia & Pacific,"287,000",750.1260077,30.6,5.457881897,2.875134223
Malaysia,1810,East Asia & Pacific,,,,,
Malaysia,1820,East Asia & Pacific,"287,000",750.1260077,,5.457881897,2.875134223
Malaysia,1830,East Asia & Pacific,,,,,
Malaysia,1840,East Asia & Pacific,,,,,
Malaysia,1850,East Asia & Pacific,"530,000",,,5.72427587,
Malaysia,1860,East Asia & Pacific,,,,,
Malaysia,1870,East Asia & Pacific,"800,000",824.4340103,,5.903089987,2.916155899
Malaysia,1880,East Asia & Pacific,,,,,
Malaysia,1890,East Asia & Pacific,"1,585,000",,,6.200029267,
Malaysia,1900,East Asia & Pacific,"2,232,000",,,6.34869419,
Malaysia,1910,East Asia & Pacific,"2,893,000",,,6.461348434,
Malaysia,1920,East Asia & Pacific,"3,545,000",1381.684441,,6.54961624,3.140408867
Malaysia,1930,East Asia & Pacific,"4,413,000",2035.696974,30.6,6.644733927,3.308713131
Malaysia,1940,East Asia & Pacific,"5,434,000",1590.459567,,6.735119634,3.201522633
Malaysia,1950,East Asia & Pacific,"6,109,907",1940.394573,53.486,6.7860346,3.287890051
Malaysia,1960,East Asia & Pacific,"8,160,113",1904.478741,59.465,6.911696173,3.279776129
Malaysia,1970,East Asia & Pacific,"10,909,353",2587.356704,64.446,7.037798995,3.412856307
Malaysia,1980,East Asia & Pacific,"13,832,586",4550.583238,68.051,7.140903379,3.658067063
Malaysia,1990,East Asia & Pacific,"18,208,562",6386.016245,70.746,7.260275649,3.805230019
Malaysia,2000,East Asia & Pacific,"23,414,909",10161.49457,72.81,7.369492474,4.006957589
Malaysia,2010,East Asia & Pacific,"28,401,017",13185.43553,74.479,7.453333892,4.12009448
Senegal,1800,Sub-Saharan Africa,"1,009,886",420.7302392,25.2,6.004272352,2.624003727
Senegal,1810,Sub-Saharan Africa,,,,,
Senegal,1820,Sub-Saharan Africa,"1,009,886",420.7302392,,6.004272352,2.624003727
Senegal,1830,Sub-Saharan Africa,,,,,
Senegal,1840,Sub-Saharan Africa,,,,,
Senegal,1850,Sub-Saharan Africa,,,,,
Senegal,1860,Sub-Saharan Africa,,,,,
Senegal,1870,Sub-Saharan Africa,,,,,
Senegal,1880,Sub-Saharan Africa,,,,,
Senegal,1890,Sub-Saharan Africa,,,,,
Senegal,1900,Sub-Saharan Africa,,,,,
Senegal,1910,Sub-Saharan Africa,,,,,
Senegal,1920,Sub-Saharan Africa,,,,,
Senegal,1930,Sub-Saharan Africa,,,,,
Senegal,1940,Sub-Saharan Africa,,,,,
Senegal,1950,Sub-Saharan Africa,"2,416,264",1401.003998,34.508,6.383144383,3.146439375
Senegal,1960,Sub-Saharan Africa,"3,047,804",1607.711232,38.223,6.483987035,3.206208046
Senegal,1970,Sub-Saharan Africa,"4,096,245",1597.177294,39.227,6.612385924,3.203353127
Senegal,1980,Sub-Saharan Africa,"5,414,070",1414.10891,48.944,6.733523867,3.150482859
Senegal,1990,Sub-Saharan Africa,"7,241,573",1423.271057,57.202,6.859832913,3.153287618
Senegal,2000,Sub-Saharan Africa,"9,505,862",1511.486784,57.817,6.977991505,3.179404354
Senegal,2010,Sub-Saharan Africa,"12,433,728",1740.515097,62.934,7.094601363,3.240677795
Vietnam,1800,East Asia & Pacific,"6,551,000",459.7089858,32,6.816307599,2.662482993
Vietnam,1810,East Asia & Pacific,,,,,
Vietnam,1820,East Asia & Pacific,"6,551,000",459.7089858,,6.816307599,2.662482993
Vietnam,1830,East Asia & Pacific,,,,,
Vietnam,1840,East Asia & Pacific,,,,,
Vietnam,1850,East Asia & Pacific,,,,,
Vietnam,1860,East Asia & Pacific,,,,,
Vietnam,1870,East Asia & Pacific,"10,528,000",440.7998079,,7.022345876,2.644241397
Vietnam,1880,East Asia & Pacific,,,,,
Vietnam,1890,East Asia & Pacific,,,,,
Vietnam,1900,East Asia & Pacific,,,,,
Vietnam,1910,East Asia & Pacific,,,,,
Vietnam,1920,East Asia & Pacific,,,,,
Vietnam,1930,East Asia & Pacific,,,32,,
Vietnam,1940,East Asia & Pacific,,,,,
Vietnam,1950,East Asia & Pacific,"28,264,391",573.9445425,51.85,7.451239632,2.758869931
Vietnam,1960,East Asia & Pacific,"35,172,657",696.9524172,59.059,7.546205177,2.843203129
Vietnam,1970,East Asia & Pacific,"44,927,973",641.0578419,59.594,7.652516825,2.806897217
Vietnam,1980,East Asia & Pacific,"54,023,152",660.3613572,67.57,7.73257992,2.819781651
Vietnam,1990,East Asia & Pacific,"67,101,583",893.8847582,70.649,7.826732766,2.951281532
Vietnam,2000,East Asia & Pacific,"78,758,010",1577.531777,73.777,7.896294734,3.197978116
Vietnam,2010,East Asia & Pacific,"87,848,445",2830.7757,75.49,7.943734078,3.451905459
Mozambique,1800,Sub-Saharan Africa,"1,982,324",358,30.278,6.297174639,2.553883027
Mozambique,1810,Sub-Saharan Africa,,,,,
Mozambique,1820,Sub-Saharan Africa,"2,096,000",358,,6.321391278,2.553883027
Mozambique,1830,Sub-Saharan Africa,,,,,
Mozambique,1840,Sub-Saharan Africa,,,,,
Mozambique,1850,Sub-Saharan Africa,,,,,
Mozambique,1860,Sub-Saharan Africa,,,,,
Mozambique,1870,Sub-Saharan Africa,,,,,
Mozambique,1880,Sub-Saharan Africa,,,,,
Mozambique,1890,Sub-Saharan Africa,,,,,
Mozambique,1900,Sub-Saharan Africa,,,,,
Mozambique,1910,Sub-Saharan Africa,,,,,
Mozambique,1920,Sub-Saharan Africa,,,,,
Mozambique,1930,Sub-Saharan Africa,,,,,
Mozambique,1940,Sub-Saharan Africa,,,,,
Mozambique,1950,Sub-Saharan Africa,"6,442,133",450.7541544,30.276,6.809029687,2.653939738
Mozambique,1960,Sub-Saharan Africa,"7,647,298",527.8716539,35.026,6.883508014,2.722528342
Mozambique,1970,Sub-Saharan Africa,"9,453,385",693.1211068,39.247,6.975587345,2.840809124
Mozambique,1980,Sub-Saharan Africa,"12,145,501",485.3748115,42.882,7.084415434,2.686077235
Mozambique,1990,Sub-Saharan Africa,"13,547,076",443.2354904,43.641,7.131845567,2.646634528
Mozambique,2000,Sub-Saharan Africa,"18,200,656",542.8083885,47.472,7.260087041,2.734646551
Mozambique,2010,Sub-Saharan Africa,"23,390,765",954.4875561,49.204,7.369044426,2.979770271
Uganda,1800,Sub-Saharan Africa,"2,101,397",461.0826407,25.3,6.322508108,2.663778772
Uganda,1810,Sub-Saharan Africa,,,,,
Uganda,1820,Sub-Saharan Africa,"2,101,397",461.0826407,,6.322508108,2.663778772
Uganda,1830,Sub-Saharan Africa,,,,,
Uganda,1840,Sub-Saharan Africa,,,,,
Uganda,1850,Sub-Saharan Africa,,,,,
Uganda,1860,Sub-Saharan Africa,,,,,
Uganda,1870,Sub-Saharan Africa,,,,,
Uganda,1880,Sub-Saharan Africa,,,,,
Uganda,1890,Sub-Saharan Africa,,,,,
Uganda,1900,Sub-Saharan Africa,,,,,
Uganda,1910,Sub-Saharan Africa,,,,,
Uganda,1920,Sub-Saharan Africa,,,,,
Uganda,1930,Sub-Saharan Africa,,,,,
Uganda,1940,Sub-Saharan Africa,,,,,
Uganda,1950,Sub-Saharan Africa,"5,158,193",759.8798137,38.986,6.712497588,2.880744908
Uganda,1960,Sub-Saharan Africa,"6,788,219",788.6910934,43.991,6.831755845,2.896906936
Uganda,1970,Sub-Saharan Africa,"9,445,932",960.9680438,48.825,6.975244815,2.982708946
Uganda,1980,Sub-Saharan Africa,"12,662,131",638.7683033,49.456,7.102506802,2.805343358
Uganda,1990,Sub-Saharan Africa,"17,699,717",661.3019944,47.514,7.247966323,2.820399832
Uganda,2000,Sub-Saharan Africa,"24,213,120",881.208267,48.126,7.384050754,2.945078563
Uganda,2010,Sub-Saharan Africa,"33,424,683",1219.457289,57.319,7.524067297,3.086166594
Japan,1800,East Asia & Pacific,"30,294,378",1055.060121,36.4,7.48136204,3.023277208
Japan,1810,East Asia & Pacific,,1069.234951,,,3.029073146
Japan,1820,East Asia & Pacific,"31,000,000",1083.600221,,7.491361694,3.034869085
Japan,1830,East Asia & Pacific,"31,329,812",1089.039465,,7.495957789,3.037043618
Japan,1840,East Asia & Pacific,"31,663,133",1094.506013,,7.500553885,3.039218152
Japan,1850,East Asia & Pacific,"32,000,000",1100,,7.505149978,3.041392685
Japan,1860,East Asia & Pacific,"33,196,144",1124.507163,,7.52108764,3.050962226
Japan,1870,East Asia & Pacific,"34,437,000",1149.560326,36.59264,7.537025311,3.060531767
Japan,1880,East Asia & Pacific,"36,807,000",1320.544131,37.03648,7.565930421,3.120752919
Japan,1890,East Asia & Pacific,"40,077,000",1518.443957,37.67568,7.602895205,3.181398768
Japan,1900,East Asia & Pacific,"44,103,000",1736.38521,38.6,7.644468132,3.239646078
Japan,1910,East Asia & Pacific,"49,518,000",1882.952368,39.9736,7.694763095,3.274839334
Japan,1920,East Asia & Pacific,"55,818,000",2402.736986,42.04432,7.746774271,3.380706234
Japan,1930,East Asia & Pacific,"64,203,000",2572.21307,,7.807555322,3.410306941
Japan,1940,East Asia & Pacific,"72,967,000",3957.527963,49,7.863126491,3.597423992
Japan,1950,East Asia & Pacific,"82,199,470",2644.585447,59.3,7.914869017,3.422357604
Japan,1960,East Asia & Pacific,"92,500,572",5488.805469,67.8,7.966144418,3.739477839
Japan,1970,East Asia & Pacific,"103,710,287",13374.86201,72.07,8.015821836,4.12628931
Japan,1980,East Asia & Pacific,"115,914,688",18488.25746,76.19,8.064138471,4.26689598
Japan,1990,East Asia & Pacific,"122,251,184",25870.13512,79.04,8.087253074,4.412798697
Japan,2000,East Asia & Pacific,"125,720,310",28559.60016,81.35,8.099405443,4.455752123
Japan,2010,East Asia & Pacific,"126,535,920",30731.99257,83.092,8.102213827,4.48759072
Niger,1800,Sub-Saharan Africa,"1,244,861",371.2631538,30.8,6.095120861,2.56968185
Niger,1810,Sub-Saharan Africa,,,,,
Niger,1820,Sub-Saharan Africa,"1,244,861",371.2631538,,6.095120861,2.56968185
Niger,1830,Sub-Saharan Africa,,,,,
Niger,1840,Sub-Saharan Africa,,,,,
Niger,1850,Sub-Saharan Africa,,,,,
Niger,1860,Sub-Saharan Africa,,,,,
Niger,1870,Sub-Saharan Africa,,,,,
Niger,1880,Sub-Saharan Africa,,,,,
Niger,1890,Sub-Saharan Africa,,,,,
Niger,1900,Sub-Saharan Africa,,,,,
Niger,1910,Sub-Saharan Africa,,,,,
Niger,1920,Sub-Saharan Africa,,,,,
Niger,1930,Sub-Saharan Africa,,,,,
Niger,1940,Sub-Saharan Africa,,,,,
Niger,1950,Sub-Saharan Africa,"2,461,726",732.2103363,34.88,6.391239713,2.864635855
Niger,1960,Sub-Saharan Africa,"3,249,965",902.9125063,35.528,6.511878684,2.955645669
Niger,1970,Sub-Saharan Africa,"4,372,957",995.5515523,36.3,6.640775207,2.998063754
Niger,1980,Sub-Saharan Africa,"5,871,030",957.4945317,39.422,6.7687143,2.981136302
Niger,1990,Sub-Saharan Africa,"7,788,198",640.5951346,43.967,6.891436984,2.806583636
Niger,2000,Sub-Saharan Africa,"10,922,421",577.1908747,50.692,7.038318912,2.761319456
Niger,2010,Sub-Saharan Africa,"15,511,953",661.1771297,56.956,7.19066648,2.820317823
Brazil,1800,America,"3,639,636",509.2035615,32,6.561057952,2.706891433
Brazil,1810,America,,,,,
Brazil,1820,America,"4,507,000",539.0243958,,6.653887558,2.731608421
Brazil,1830,America,,,,,
Brazil,1840,America,,,,,
Brazil,1850,America,"7,234,000",571.900153,,6.859378504,2.757320213
Brazil,1860,America,,654.1934445,,,2.815706188
Brazil,1870,America,"9,797,000",715.7301179,,6.991093108,2.854749293
Brazil,1880,America,"11,794,000",698.8807906,,7.071661123,2.844403104
Brazil,1890,America,"14,199,000",715.7301179,,7.152257759,2.854749293
Brazil,1900,America,"17,984,000",575.0748644,,7.254886294,2.759724386
Brazil,1910,America,"22,216,000",711.353102,,7.346665867,2.85208523
Brazil,1920,America,"27,404,000",875.5191707,31.9768,7.437813959,2.94226566
Brazil,1930,America,"33,568,000",1118.34323,32,7.525925467,3.048575113
Brazil,1940,America,"41,114,000",1406.391382,36.64072,7.613989732,3.148106196
Brazil,1950,America,"53,974,725",1979.813903,50.04,7.732190438,3.29662437
Brazil,1960,America,"72,758,801",3044.128443,54.702,7.861885534,3.483462973
Brazil,1970,America,"96,078,304",4184.068238,58.865,7.982625328,3.621598759
Brazil,1980,America,"121,711,864",7623.184159,62.669,8.085332914,3.882136411
Brazil,1990,America,"149,650,206",7136.93246,66.468,8.175077319,3.853511587
Brazil,2000,America,"174,425,387",8056.060915,70.261,8.241609695,3.906122741
Brazil,2010,America,"194,946,470",10195.44815,73.121,8.289915376,4.00840632
Guinea,1800,Sub-Saharan Africa,"983,959",375.9566028,29.5,5.992977002,2.575137717
Guinea,1810,Sub-Saharan Africa,,,,,
Guinea,1820,Sub-Saharan Africa,"983,959",375.9566028,,5.992977002,2.575137717
Guinea,1830,Sub-Saharan Africa,,,,,
Guinea,1840,Sub-Saharan Africa,,,,,
Guinea,1850,Sub-Saharan Africa,,,,,
Guinea,1860,Sub-Saharan Africa,,,,,
Guinea,1870,Sub-Saharan Africa,,,,,
Guinea,1880,Sub-Saharan Africa,,,,,
Guinea,1890,Sub-Saharan Africa,,,,,
Guinea,1900,Sub-Saharan Africa,,,,,
Guinea,1910,Sub-Saharan Africa,,,,,
Guinea,1920,Sub-Saharan Africa,,,,,
Guinea,1930,Sub-Saharan Africa,,,,,
Guinea,1940,Sub-Saharan Africa,,,,,
Guinea,1950,Sub-Saharan Africa,"3,093,652",481.0010939,32.536,6.490471459,2.682146064
Guinea,1960,Sub-Saharan Africa,"3,540,756",621.381608,34.89,6.549096,2.793358395
Guinea,1970,Sub-Saharan Africa,"4,153,653",733.7115926,36.656,6.618430212,2.865525381
Guinea,1980,Sub-Saharan Africa,"4,406,831",873.6860609,41.279,6.644126396,2.941355407
Guinea,1990,Sub-Saharan Africa,"5,759,374",834.4765196,49.95,6.760375281,2.921414121
Guinea,2000,Sub-Saharan Africa,"8,344,486",906.6219494,51.257,6.92139959,2.957426229
Guinea,2010,Sub-Saharan Africa,"9,981,590",939.3718791,55.317,6.999199727,2.972837555
Panama,1800,America,"78,842",686.6575255,32.9,4.896757633,2.836740184
Panama,1810,America,,,,,
Panama,1820,America,"78,842",686.6575255,,4.896757633,2.836740184
Panama,1830,America,,,,,
Panama,1840,America,,,,,
Panama,1850,America,"135,000",,,5.130333768,
Panama,1860,America,,,,,
Panama,1870,America,"176,000",,,5.245512668,
Panama,1880,America,,,,,
Panama,1890,America,,,,,
Panama,1900,America,"263,000",,,5.419955748,
Panama,1910,America,"326,000",,,5.5132176,
Panama,1920,America,"487,000",,,5.687528961,
Panama,1930,America,"515,000",,35.9,5.711807229,
Panama,1940,America,"697,000",,42.4,5.843232778,
Panama,1950,America,"860,092",2500.031338,55.728,5.934544908,3.397945453
Panama,1960,America,"1,128,378",3119.954951,60.856,6.05245461,3.494148323
Panama,1970,America,"1,509,822",4976.351463,65.518,6.178925749,3.696911046
Panama,1980,America,"1,953,029",6643.421979,70.197,6.290708692,3.822391839
Panama,1990,America,"2,415,926",5834.195167,73,6.383083628,3.765980953
Panama,2000,America,"2,956,126",7405.969922,75.094,6.470722941,3.869581944
Panama,2010,America,"3,516,820",11494.67388,76.916,6.546150141,4.060496654
Guyana,1800,America,"166,034",910.6856442,31.12,5.220197031,2.959368491
Guyana,1810,America,,,,,
Guyana,1820,America,"166,034",910.6856442,,5.220197031,2.959368491
Guyana,1830,America,,,,,
Guyana,1840,America,,,,,
Guyana,1850,America,,,,,
Guyana,1860,America,,,,,
Guyana,1870,America,,,,,
Guyana,1880,America,,,,,
Guyana,1890,America,,,,,
Guyana,1900,America,,,,,
Guyana,1910,America,,,,,
Guyana,1920,America,,,,,
Guyana,1930,America,,,41.4224,,
Guyana,1940,America,,,,,
Guyana,1950,America,"406,562",2903.518147,56.959,5.609126784,3.462924545
Guyana,1960,America,"560,184",2197.296581,58.205,5.7483307,3.34188868
Guyana,1970,America,"720,738",2489.759701,59.447,5.85777742,3.396157433
Guyana,1980,America,"776,856",2653.786519,60.604,5.890340524,3.423865984
Guyana,1990,America,"724,931",1958.997633,62.034,5.860296672,3.292033911
Guyana,2000,America,"733,101",3141.349168,63.29,5.865163812,3.497116212
Guyana,2010,America,"754,493",3937.588619,65.775,5.877655215,3.595230341
Luxembourg,1800,Europe & Central Asia,"127,030",1145.566597,36.9,5.103906298,3.059020342
Luxembourg,1810,Europe & Central Asia,,,,,
Luxembourg,1820,Europe & Central Asia,"127,030",1184.192835,,5.103906298,3.073422429
Luxembourg,1830,Europe & Central Asia,,,,,
Luxembourg,1840,Europe & Central Asia,,,,,
Luxembourg,1850,Europe & Central Asia,,,,,
Luxembourg,1860,Europe & Central Asia,,,,,
Luxembourg,1870,Europe & Central Asia,,,,,
Luxembourg,1880,Europe & Central Asia,,,,,
Luxembourg,1890,Europe & Central Asia,,,,,
Luxembourg,1900,Europe & Central Asia,,,,,
Luxembourg,1910,Europe & Central Asia,,,49.664,,
Luxembourg,1920,Europe & Central Asia,,,54.6224,,
Luxembourg,1930,Europe & Central Asia,,,56.7984,,
Luxembourg,1940,Europe & Central Asia,,,61.9472,,
Luxembourg,1950,Europe & Central Asia,"296,001",14554.95629,65.248,5.471293178,4.163010906
Luxembourg,1960,Europe & Central Asia,"314,002",17086.72171,69.07,5.496932414,4.232658746
Luxembourg,1970,Europe & Central Asia,"339,184",22298.67123,69.58,5.530435358,4.348278984
Luxembourg,1980,Europe & Central Asia,"364,158",27021.64537,72.57,5.561289855,4.43171179
Luxembourg,1990,Europe & Central Asia,"381,225",42467.63837,75.39,5.581181373,4.62805811
Luxembourg,2000,Europe & Central Asia,"435,491",63924.1627,77.82,5.638979184,4.805665048
Luxembourg,2010,Europe & Central Asia,"507,448",70402.8428,80.004,5.705391545,4.847590196
West Germany,1800,Europe & Central Asia,"14,747,000",,,7.16870368,
West Germany,1810,Europe & Central Asia,,,,,
West Germany,1820,Europe & Central Asia,"14,747,000",,,7.16870368,
West Germany,1830,Europe & Central Asia,,,,,
West Germany,1840,Europe & Central Asia,,,,,
West Germany,1850,Europe & Central Asia,,,,,
West Germany,1860,Europe & Central Asia,,,,,
West Germany,1870,Europe & Central Asia,"23,055,000",,,7.362765127,
West Germany,1880,Europe & Central Asia,,,,,
West Germany,1890,Europe & Central Asia,,,,,
West Germany,1900,Europe & Central Asia,,,,,
West Germany,1910,Europe & Central Asia,,,,,
West Germany,1920,Europe & Central Asia,,,,,
West Germany,1930,Europe & Central Asia,,,,,
West Germany,1940,Europe & Central Asia,,,,,
West Germany,1950,Europe & Central Asia,"49,983,000",,,7.698822319,
West Germany,1960,Europe & Central Asia,,,,,
West Germany,1970,Europe & Central Asia,,,,,
West Germany,1980,Europe & Central Asia,,,,,
West Germany,1990,Europe & Central Asia,"63,254,000",,,7.801087994,
West Germany,2000,Europe & Central Asia,,,,,
West Germany,2010,Europe & Central Asia,,,,,
Nigeria,1800,Sub-Saharan Africa,"12,100,855",576.3794447,30.4,7.082816057,2.760708484
Nigeria,1810,Sub-Saharan Africa,,,,,
Nigeria,1820,Sub-Saharan Africa,"12,100,855",576.3794447,,7.082816057,2.760708484
Nigeria,1830,Sub-Saharan Africa,,,,,
Nigeria,1840,Sub-Saharan Africa,,,,,
Nigeria,1850,Sub-Saharan Africa,,,,,
Nigeria,1860,Sub-Saharan Africa,,,,,
Nigeria,1870,Sub-Saharan Africa,,,,,
Nigeria,1880,Sub-Saharan Africa,,,,,
Nigeria,1890,Sub-Saharan Africa,,,,,
Nigeria,1900,Sub-Saharan Africa,,,,,
Nigeria,1910,Sub-Saharan Africa,,,,,
Nigeria,1920,Sub-Saharan Africa,,,,,
Nigeria,1930,Sub-Saharan Africa,,,,,
Nigeria,1940,Sub-Saharan Africa,,,,,
Nigeria,1950,Sub-Saharan Africa,"37,859,746",974.0248263,33.327,7.578177696,2.988570026
Nigeria,1960,Sub-Saharan Africa,"45,926,253",1104.927097,37.188,7.662061014,3.043333624
Nigeria,1970,Sub-Saharan Africa,"57,357,275",1542.252837,41.189,7.75858851,3.188155578
Nigeria,1980,Sub-Saharan Africa,"75,543,388",1843.343654,45.555,7.878196458,3.265606308
Nigeria,1990,Sub-Saharan Africa,"97,552,057",1571.113656,46.114,7.989236431,3.196207603
Nigeria,2000,Sub-Saharan Africa,"123,688,536",1619.115759,46.629,8.092329449,3.2092779
Nigeria,2010,Sub-Saharan Africa,"158,423,182",2297.341367,51.297,8.199818732,3.361225533
Serbia excluding Kosovo,1800,Europe & Central Asia,"1,814,128",,,6.258667926,
Serbia excluding Kosovo,1810,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1820,Europe & Central Asia,"1,814,128",,,6.258667926,
Serbia excluding Kosovo,1830,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1840,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1850,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1860,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1870,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1880,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1890,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1900,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1910,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1920,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1930,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1940,Europe & Central Asia,,,,,
Serbia excluding Kosovo,1950,Europe & Central Asia,"5,669,381",,,6.753535644,
Serbia excluding Kosovo,1960,Europe & Central Asia,"6,312,062",,,6.800171256,
Serbia excluding Kosovo,1970,Europe & Central Asia,"6,899,922",,,6.838844181,
Serbia excluding Kosovo,1980,Europe & Central Asia,"7,565,921",,,6.878861802,
Serbia excluding Kosovo,1990,Europe & Central Asia,"7,897,937",,,6.897513665,
Serbia excluding Kosovo,2000,Europe & Central Asia,"7,516,346",,,6.876006764,
Serbia excluding Kosovo,2010,Europe & Central Asia,,,,,
Ecuador,1800,America,"500,000",1085.125019,32.9,5.698970004,3.035479777
Ecuador,1810,America,,,,,
Ecuador,1820,America,"500,000",1085.125019,,5.698970004,3.035479777
Ecuador,1830,America,,,,,
Ecuador,1840,America,,,,,
Ecuador,1850,America,"816,000",,,5.911690159,
Ecuador,1860,America,,,,,
Ecuador,1870,America,"1,013,000",,,6.005609445,
Ecuador,1880,America,,,,,
Ecuador,1890,America,,,,,
Ecuador,1900,America,"1,400,000",,,6.146128036,
Ecuador,1910,America,"1,617,000",,,6.20871002,
Ecuador,1920,America,"1,790,000",,,6.252853031,
Ecuador,1930,America,"1,944,000",,,6.288696261,
Ecuador,1940,America,"2,466,000",2377.515508,,6.391993072,3.376123358
Ecuador,1950,America,"3,387,357",3266.234573,47.277,6.52986097,3.514047371
Ecuador,1960,America,"4,439,206",4012.404587,53.146,6.647305299,3.603404718
Ecuador,1970,America,"5,972,464",4988.613457,57.791,6.776153541,3.697979854
Ecuador,1980,America,"7,957,811",7239.774692,62.927,6.90079362,3.859725051
Ecuador,1990,America,"10,260,587",6842.304504,68.839,7.011172207,3.835202398
Ecuador,2000,America,"12,345,023",5616.418804,73.353,7.091491903,3.749459485
Ecuador,2010,America,"14,464,739",7182.70775,75.647,7.160310602,3.856288196
Bangladesh,1800,South Asia,"19,227,358",608.7942969,25.5,7.283919613,2.784470575
Bangladesh,1810,South Asia,,607.2126074,,,2.78334078
Bangladesh,1820,South Asia,"20,000,000",605.6350273,,7.301029996,2.782210985
Bangladesh,1830,South Asia,,605.5981418,,,2.782184534
Bangladesh,1840,South Asia,,605.5612586,,,2.782158083
Bangladesh,1850,South Asia,,605.5243776,,,2.782131632
Bangladesh,1860,South Asia,,605.5994311,,,2.782185459
Bangladesh,1870,South Asia,"24,721,000",605.6744939,,7.393066035,2.782239285
Bangladesh,1880,South Asia,,619.722188,,,2.792197046
Bangladesh,1890,South Asia,,663.6261606,,,2.821923498
Bangladesh,1900,South Asia,,680.7087573,,,2.832961338
Bangladesh,1910,South Asia,,791.3732063,,,2.898381342
Bangladesh,1920,South Asia,,721.3871023,,,2.858168373
Bangladesh,1930,South Asia,,824.3512348,,,2.916112293
Bangladesh,1940,South Asia,,779.6690283,,,2.891910283
Bangladesh,1950,South Asia,"37,894,678",673.3711492,42.875,7.578578221,2.828254505
Bangladesh,1960,South Asia,"50,101,943",679.3640316,47.037,7.699854569,2.83210255
